肖申克的救赎,1993
阿甘正传,1994
泰坦尼克号,1997
千与千寻,1993
盗梦空间,2009
星际穿越,1998
海上钢琴师,2009
机器人总动员,2004
无间道,2016
大话西游之大圣娶亲,2011
教父,2006
龙猫,2010
